Date,Account,Region,Service,ResourceId,UsageType,UsageAmount,UsageUnit,Cost,Currency,Operation,API,AvailabilityZone,PurchaseOption,MeterId,Project,Environment,Tags,BillingPeriod,InvoiceId
2025-05-29,acct-1002,us-west-2,EC2,ec2-8429,GB-Months,902.626,hours,131.0113,USD,RunInstances,SDK,us-east-1b,Spot,MID77943,projB,dev,owner:devops,2025-05,INV676670
2025-02-19,acct-1001,ap-northeast-1,DynamoDB,dynamodb-8049,BoxUsage,207.041,requests,40.0417,USD,Invoke,SDK,us-west-2a,Reserved,MID89677,projA,prod,costcenter:42,2025-02,INV300085
2025-01-08,acct-1001,us-west-2,EKS,eks-2717,Requests,163.559,requests,16.1495,USD,GetObject,SDK,us-east-1a,Spot,MID87198,projB,dev,,2025-01,INV942068
2025-10-15,acct-1003,us-west-2,RDS,rds-8284,BoxUsage,678.4,requests,$131.915,USD,PutObject,SDK,us-east-1a,Spot,MID37685,projB,staging,team:alpha,2025-10,INV133687
2025-10-27,acct-1001,ap-south-1,SNS,sns-3982,Requests,482.171,requests,50.5186,USD,PutObject,REST,us-east-1b,Reserved,MID58288,projA,prod,,2025-10,INV556654
2025-06-24,acct-1001,us-west-2,CloudFront,cloudfront-6489,Requests,982.049,requests,119.3737,USD,RunInstances,CLI,us-east-1b,OnDemand,MID23673,projB,staging,,2025-06,INV392321
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,,2025-01,INV731170
2025-04-09,acct-1001,eu-west-1,S3,s3-6787,BoxUsage,233.211,GB,43.3081,USD,RunInstances,CLI,eu-west-1a,Reserved,MID14584,projA,prod,,2025-04,INV306094
2025-06-03,acct-1001,ap-south-1,RDS,rds-8120,TimedStorage-ByteHrs,804.782,requests,109.7208,USD,RunInstances,SDK,us-east-1a,Reserved,MID55813,projA,prod,owner:devops,2025-06,INV897144
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,40.4682,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,,2025-01,INV731170
2025-02-20,acct-1003,us-east-1,SQS,sqs-2314,Requests,439.663,requests,28.7051,USD,Invoke,CLI,us-east-1b,Spot,MID19311,projA,staging,costcenter:42,2025-02,INV600484
2025-03-17,acct-1003,eu-west-1,SQS,sqs-5497,GB-Months,148.406,requests,10.5157,USD,DescribeInstances,CLI,us-east-1b,Spot,MID60288,projB,dev,team:alpha,2025-03,INV421866
2025-06-09,acct-1003,ap-south-1,SNS,sns-7943,Requests,142.925,requests,27.0293,USD,GetObject,REST,us-west-2a,Reserved,MID54295,projA,staging,team:alpha,2025-06,INV799924
2025-03-14,acct-1001,us-east-1,SNS,sns-8824,Requests,33.388,requests,3.214,USD,Invoke,SDK,eu-west-1a,Spot,MID36368,projA,staging,team:alpha,2025-03,INV241199
2025-02-10,acct-1003,ap-northeast-1,CloudFront,cloudfront-7819,TimedStorage-ByteHrs,429.809,requests,25.3543,USD,GetObject,SDK,us-west-2a,Reserved,MID57172,projA,dev,,2025-02,INV636255
2025-09-07,acct-1003,us-west-2,EC2,ec2-6032,TimedStorage-ByteHrs,330.123,hours,36.6241,USD,PutObject,CLI,us-west-2a,OnDemand,MID35617,projB,dev,owner:devops,2025-09,INV235505
2025-10-18,acct-1002,us-west-2,SQS,sqs-2520,BoxUsage,507.28,requests,$61.8133,USD,Invoke,REST,us-west-2a,OnDemand,MID56944,projB,dev,costcenter:42,2025-10,INV721443
2025-05-01,acct-1001,eu-west-1,SQS,sqs-2824,Requests,159.086,requests,5.9789,USD,PutObject,REST,eu-west-1a,Reserved,MID33544,projA,prod,,2025-05,INV582162
2025-08-08,acct-1001,ap-south-1,ECR,ecr-7089,BoxUsage,557.284,GB,32.7075,USD,PutObject,REST,us-east-1a,OnDemand,MID42822,projA,prod,costcenter:42,2025-08,INV583720
2025-06-14,acct-1002,us-west-2,S3,s3-6728,BoxUsage,837.456,GB,105.4521,USD,RunInstances,CLI,us-east-1a,Spot,MID11191,projB,prod,owner:devops,2025-06,INV820482
2025-09-04,acct-1002,ap-south-1,ECR,ecr-4432,BoxUsage,241.291,GB,8.1428,USD,RunInstances,SDK,eu-west-1a,Reserved,MID81523,projA,staging,,2025-09,INV843366
2025-07-18,acct-1003,us-east-1,ECR,ecr-3274,TimedStorage-ByteHrs,555.79,GB,57.1897,USD,PutObject,REST,eu-west-1a,Reserved,MID28389,projC,prod,,2025-07,INV331639
2025-05-03,acct-1003,eu-west-1,EKS,eks-3236,TimedStorage-ByteHrs,150.579,requests,28.5201,USD,Invoke,REST,us-east-1a,Spot,MID30084,projA,dev,costcenter:42,2025-05,INV430634
2025-01-05,acct-1002,ap-northeast-1,EKS,eks-6732,GB-Months,106.614,requests,6.5671,USD,PutObject,REST,us-west-2a,Reserved,MID58470,projC,dev,owner:devops,2025-01,INV522479
2025-03-15,acct-1003,ap-south-1,DynamoDB,dynamodb-1918,Requests,779.9,requests,138.5368,USD,PutObject,CLI,eu-west-1a,Spot,MID80874,projC,dev,costcenter:42,2025-03,INV446236
2025-08-01,acct-1002,eu-west-1,SNS,sns-3692,BoxUsage,490.431,requests,54.2852,USD,DescribeInstances,SDK,us-east-1a,Spot,MID58897,projA,prod,team:alpha,2025-08,INV356211
2025-03-05,acct-1003,eu-west-1,EKS,eks-8720,GB-Months,27.424,requests,$0.9383,USD,DescribeInstances,CLI,us-east-1a,Spot,MID62892,projC,prod,team:alpha,2025-03,INV250194
2025-01-04,acct-1003,us-east-1,ECR,ecr-6511,TimedStorage-ByteHrs,261.768,GB,14.277,USD,Invoke,CLI,eu-west-1a,Spot,MID47212,projC,staging,owner:devops,2025-01,INV307836
2025-05-21,acct-1002,us-east-1,RDS,rds-6915,DataTransfer-Out,44.051,requests,3.433,USD,RunInstances,SDK,us-east-1b,OnDemand,MID39607,projC,prod,,2025-05,INV444722
2025-01-03,acct-1003,us-west-2,RDS,rds-8621,Requests,514.389,requests,54.7437,USD,GetObject,REST,eu-west-1a,Reserved,MID31260,projA,prod,owner:devops,2025-01,INV958753
2025-10-13,acct-1001,us-east-1,CloudFront,cloudfront-9461,TimedStorage-ByteHrs,475.529,requests,$25.0669,USD,GetObject,SDK,eu-west-1a,Spot,MID65951,projC,dev,costcenter:42,2025-10,INV447143
2025-06-13,acct-1001,us-west-2,ECR,ecr-9354,TimedStorage-ByteHrs,540.339,GB,13.118,USD,Invoke,SDK,eu-west-1a,OnDemand,MID47792,projA,dev,,2025-06,INV851177
2025-01-02,acct-1003,ap-northeast-1,RDS,rds-9663,Requests,239.954,requests,3.278,USD,Invoke,REST,us-west-2a,Spot,MID22166,projB,staging,costcenter:42,2025-01,INV243789
2025-07-15,acct-1001,eu-west-1,ECR,ecr-4331,GB-Months,931.159,GB,69.9102,USD,Invoke,CLI,us-east-1a,Spot,MID98269,projB,staging,owner:devops,2025-07,INV998688
2025-06-06,acct-1003,ap-northeast-1,Lambda,lambda-9815,TimedStorage-ByteHrs,784.691,requests,45.3604,USD,RunInstances,CLI,us-west-2a,Reserved,MID89559,projC,dev,owner:devops,2025-06,INV722288
2025-04-19,acct-1002,ap-south-1,EC2,ec2-6066,BoxUsage,653.319,hours,24.804,USD,PutObject,SDK,eu-west-1a,Reserved,MID31216,projB,prod,,2025-04,INV116558
2025-01-21,acct-1002,ap-northeast-1,DynamoDB,dynamodb-8482,TimedStorage-ByteHrs,19.844,requests,2.2678,USD,Invoke,CLI,us-east-1b,OnDemand,MID16361,projC,prod,owner:devops,2025-01,INV657050
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,969.721,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,,2025-05,INV985812
2025-05-05,acct-1003,us-east-1,ECR,ecr-8596,Requests,448.594,GB,46.7228,USD,Invoke,REST,us-east-1b,Reserved,MID11448,projC,prod,costcenter:42,2025-05,INV782317
2025-02-11,acct-1003,ap-northeast-1,CloudFront,cloudfront-7896,GB-Months,261.545,requests,14.7935,USD,PutObject,CLI,eu-west-1a,Reserved,MID19799,projA,prod,costcenter:42,2025-02,INV649040
2025-05-29,acct-1001,ap-northeast-1,ECR,ecr-9670,TimedStorage-ByteHrs,471.329,GB,8.2123,USD,Invoke,REST,us-west-2a,Spot,MID30769,projC,dev,team:alpha,2025-05,INV573038
2025-04-11,acct-1001,us-east-1,SNS,sns-7277,BoxUsage,626.726,requests,30.7242,USD,GetObject,REST,us-east-1b,OnDemand,MID64837,projA,prod,team:alpha,2025-04,INV912277
2025-03-29,acct-1001,eu-west-1,EKS,eks-4457,TimedStorage-ByteHrs,876.221,requests,106.8737,USD,Invoke,CLI,us-east-1a,Spot,MID34223,projC,staging,,2025-03,INV452126
2025-09-30,acct-1002,eu-west-1,EKS,eks-2040,DataTransfer-Out,496.234,requests,4.8268,USD,DescribeInstances,SDK,eu-west-1a,Reserved,MID89182,projA,prod,costcenter:42,2025-09,INV952774
2025-01-10,acct-1002,ap-northeast-1,CloudFront,cloudfront-5861,DataTransfer-Out,526.188,requests,$47.5212,USD,Invoke,SDK,us-west-2a,OnDemand,MID98375,projC,prod,owner:devops,2025-01,INV954866
2025-04-12,acct-1001,eu-west-1,SQS,sqs-3735,TimedStorage-ByteHrs,636.585,requests,$113.8208,USD,RunInstances,CLI,us-east-1a,Reserved,MID12436,projC,staging,team:alpha,2025-04,INV921961
2025-10-21,acct-1001,us-west-2,EKS,eks-1863,BoxUsage,,requests,,USD,Invoke,REST,eu-west-1a,Reserved,MID79695,projB,staging,costcenter:42,2025-10,INV963602
2025-05-08,acct-1002,ap-northeast-1,Lambda,lambda-7447,GB-Months,74.851,requests,1.1828,USD,Invoke,REST,us-east-1b,Reserved,MID98961,projB,staging,costcenter:42,2025-05,INV494526
2025-06-20,acct-1002,eu-west-1,DynamoDB,dynamodb-6257,TimedStorage-ByteHrs,331.615,requests,10.9258,USD,RunInstances,CLI,us-east-1a,OnDemand,MID97222,projB,prod,,2025-06,INV236452
2025-03-23,acct-1002,us-east-1,RDS,rds-8515,GB-Months,,requests,,USD,GetObject,CLI,us-west-2a,OnDemand,MID44802,projB,prod,,2025-03,INV784746
2025-04-09,acct-1001,eu-west-1,S3,s3-6787,BoxUsage,233.211,GB,43.3081,USD,RunInstances,CLI,eu-west-1a,Reserved,MID14584,projA,prod,,2025-04,INV306094
2025-06-15,acct-1002,eu-west-1,Lambda,lambda-6065,DataTransfer-Out,967.808,requests,176.9675,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID34204,projB,staging,costcenter:42,2025-06,INV254743
2025-03-10,acct-1003,ap-northeast-1,S3,s3-2926,TimedStorage-ByteHrs,73.102,GB,9.0792,USD,DescribeInstances,REST,us-east-1a,Reserved,MID15177,projA,prod,,2025-03,INV810932
2025-08-05,acct-1002,ap-northeast-1,SQS,sqs-7741,DataTransfer-Out,351.685,requests,$61.9406,USD,GetObject,CLI,us-east-1a,Reserved,MID52393,projA,staging,,2025-08,INV133769
2025-03-04,acct-1001,ap-northeast-1,EC2,ec2-2901,BoxUsage,367.966,hours,72.719,USD,PutObject,SDK,us-east-1b,Spot,MID52482,projC,staging,costcenter:42,2025-03,INV518526
2025-10-27,acct-1003,us-east-1,RDS,rds-9880,BoxUsage,660.743,requests,38.8978,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID40415,projA,prod,team:alpha,2025-10,INV841332
2025-10-13,acct-1001,us-east-1,CloudFront,cloudfront-9461,TimedStorage-ByteHrs,475.529,requests,$25.0669,USD,GetObject,SDK,eu-west-1a,Spot,MID65951,projC,dev,costcenter:42,2025-10,INV447143
2025-01-24,acct-1003,us-east-1,CloudFront,cloudfront-9029,TimedStorage-ByteHrs,51.266,requests,$3.1048,USD,PutObject,REST,us-west-2a,Reserved,MID92760,projA,prod,,2025-01,INV245998
2025-08-13,acct-1003,eu-west-1,SNS,sns-3049,DataTransfer-Out,423.852,requests,15.5674,USD,RunInstances,CLI,us-east-1a,Reserved,MID65174,projB,prod,owner:devops,2025-08,INV417476
2025-06-06,acct-1001,eu-west-1,EKS,eks-6290,TimedStorage-ByteHrs,,requests,126.788,USD,GetObject,SDK,us-west-2a,Reserved,MID21718,projA,staging,owner:devops,2025-06,INV644227
2025-02-11,acct-1001,ap-northeast-1,SNS,sns-8952,Requests,814.162,requests,114.8705,USD,RunInstances,CLI,us-east-1a,Reserved,MID78234,projC,dev,costcenter:42,2025-02,INV719133
2025-05-02,acct-1003,us-east-1,DynamoDB,dynamodb-5607,BoxUsage,277.549,requests,$15.2358,USD,DescribeInstances,CLI,us-east-1b,Reserved,MID95168,projC,dev,team:alpha,2025-05,INV318708
2025-08-08,acct-1002,eu-west-1,SQS,sqs-2859,Requests,377.023,requests,52.6437,USD,DescribeInstances,REST,us-east-1b,Reserved,MID10031,projA,dev,team:alpha,2025-08,INV208155
2025-02-14,acct-1003,eu-west-1,Lambda,lambda-9967,GB-Months,706.53,requests,11.0512,USD,Invoke,CLI,us-east-1a,Spot,MID36896,projA,dev,owner:devops,2025-02,INV524464
2025-03-05,acct-1002,us-west-2,EKS,eks-5228,Requests,840.95,requests,12.8528,USD,GetObject,SDK,eu-west-1a,OnDemand,MID95025,projB,staging,costcenter:42,2025-03,INV898545
2025-05-16,acct-1001,us-east-1,S3,s3-4261,TimedStorage-ByteHrs,459.169,GB,43.9178,USD,DescribeInstances,SDK,eu-west-1a,OnDemand,MID81189,projC,prod,owner:devops,2025-05,INV510437
